,subject_n,visibility,reward,RT,FP,FP1,FP2,FP3,FP4,FP5
188,0,True,False,0.28244363469461675,0.6,0.9,0.3,0.6,0.3,0.3
189,0,True,False,0.32,0.9,0.6,0.9,0.3,0.6,0.3
190,0,True,False,0.32,0.9,0.9,0.6,0.9,0.3,0.6
191,0,True,False,0.32,0.9,0.9,0.9,0.6,0.9,0.3
192,0,True,False,0.32,0.3,0.9,0.9,0.9,0.6,0.9
193,0,True,False,0.32,0.9,0.3,0.9,0.9,0.9,0.6
194,0,True,False,0.2820907609246903,0.9,0.9,0.3,0.9,0.9,0.9
195,0,True,False,0.32,0.3,0.9,0.9,0.3,0.9,0.9
196,0,True,False,0.2829390237737259,0.9,0.3,0.9,0.9,0.3,0.9
197,0,True,False,0.2829920301395911,0.9,0.9,0.3,0.9,0.9,0.3
198,0,True,False,0.3322212044778523,0.9,0.9,0.9,0.3,0.9,0.9
199,0,True,False,0.2816827764958445,0.9,0.9,0.9,0.9,0.3,0.9
200,0,True,False,0.3316270768541408,0.6,0.9,0.9,0.9,0.9,0.3
201,0,True,False,0.33297288544201326,0.6,0.6,0.9,0.9,0.9,0.9
202,0,True,False,0.28269019740045725,0.9,0.6,0.6,0.9,0.9,0.9
203,0,True,False,0.3325989669647848,0.3,0.9,0.6,0.6,0.9,0.9
204,0,True,False,0.2815546663700381,0.9,0.3,0.9,0.6,0.6,0.9
205,0,True,False,0.33248701076464493,0.6,0.9,0.3,0.9,0.6,0.6
206,0,True,False,0.32,0.3,0.6,0.9,0.3,0.9,0.6
207,0,True,False,0.28254612565473813,0.9,0.3,0.6,0.9,0.3,0.9
208,0,True,False,0.32,0.3,0.9,0.3,0.6,0.9,0.3
209,0,True,False,0.2827309813658131,0.9,0.3,0.9,0.3,0.6,0.9
210,0,True,False,0.28276575070758414,0.9,0.0,0.0,0.0,0.0,0.0
211,0,True,False,0.32,0.3,0.9,0.0,0.0,0.0,0.0
212,0,True,False,0.32,0.3,0.3,0.9,0.0,0.0,0.0
213,0,True,False,0.32,0.3,0.3,0.3,0.9,0.0,0.0
214,0,True,False,0.28210686899031634,0.9,0.3,0.3,0.3,0.9,0.0
215,0,True,False,0.32,0.3,0.9,0.3,0.3,0.3,0.9
216,0,True,False,0.28265507259079253,0.9,0.3,0.9,0.3,0.3,0.3
217,0,True,False,0.33346535635295405,0.3,0.9,0.3,0.9,0.3,0.3
